5.23373	-308.020989
5.33373	-308.0206091
5.43373	-308.0202659
5.53373	-308.019955
5.63373	-308.0196722
5.73373	-308.0194135
5.83373	-308.0191758
5.93373	-308.0189561
6.03373	-308.0187521
6.13373	-308.0185619
6.23373	-308.0183836
6.33373	-308.0182159
6.43373	-308.0180577
6.53373	-308.0179081
6.63373	-308.0177663
6.73373	-308.0176316
6.83373	-308.0175036
6.93373	-308.0173815
7.03373	-308.0172651
7.13373	-308.0171539
7.23373	-308.0170477
7.33373	-308.0169462
7.43373	-308.0168489
7.53373	-308.0167558
7.63373	-308.0166666
7.73373	-308.016581
7.83373	-308.0164988
7.93373	-308.0164199
8.03373	-308.0163441
8.13373	-308.0162713
8.23373	-308.0162012
8.33373	-308.0161337
8.43373	-308.0160687
8.53373	-308.0160061
