0.71537	-307.9301491
0.72537	-307.9421217
0.73537	-307.953188
0.74537	-307.9634082
0.75537	-307.9728387
0.76537	-307.9815321
0.77537	-307.9895376
0.78537	-307.9969007
0.79537	-308.0036642
0.80537	-308.0098681
0.81537	-308.01555
0.82537	-308.0207453
0.83537	-308.0254875
0.84537	-308.0298076
0.85537	-308.0337349
0.86537	-308.0372966
0.87537	-308.0405183
0.88537	-308.0434238
0.89537	-308.0460358
0.90537	-308.0483755
0.91537	-308.050463
0.9154	-308.05046
0.9254	-308.05232
0.9354	-308.05396
0.9454	-308.0554
0.9554	-308.05665
0.9654	-308.05774
0.9754	-308.05867
0.9854	-308.05946
0.9954	-308.06012
1.0054	-308.06066
1.0154	-308.06109
1.0254	-308.06143
1.0354	-308.06167
1.0454	-308.06184
1.0554	-308.06193
1.0654	-308.06196
1.0754	-308.06193
1.0854	-308.06186
1.0954	-308.06173
1.1054	-308.06157
1.1154	-308.06138
1.1254	-308.06115
1.1354	-308.06091
1.1454	-308.06064
1.1554	-308.06036
1.1654	-308.06006
1.1754	-308.05975
1.1854	-308.05944
1.1954	-308.05912
1.2054	-308.05879
1.2154	-308.05847
1.2254	-308.05814
1.2354	-308.05781
1.2454	-308.05749
1.2554	-308.05716
1.2654	-308.05683
1.2754	-308.05651
1.2854	-308.05618
1.2954	-308.05585
1.3054	-308.05552
1.3154	-308.05518
1.3254	-308.05484
1.3354	-308.05448
1.3454	-308.05411
1.3554	-308.05372
1.3654	-308.05332
1.3754	-308.05288
1.3854	-308.05242
1.3954	-308.05193
1.4054	-308.05139
1.4154	-308.0508
1.4254	-308.05017
1.4354	-308.04947
1.4454	-308.0487
1.4554	-308.04786
1.4654	-308.04693
1.4754	-308.04591
1.4854	-308.04478
1.4954	-308.04353
1.5054	-308.04216
1.51537	-308.0406467
1.52537	-308.0389778
1.53537	-308.0371402
1.54537	-308.0351186
1.55537	-308.0328967
1.56537	-308.0304569
1.57537	-308.0277808
1.58537	-308.0248483
1.59537	-308.0216385
1.60537	-308.018129
1.61537	-308.014296
1.62537	-308.0101142
1.63537	-308.0055566
1.64537	-308.0005942
1.65537	-307.9951962
1.66537	-307.9893296
1.67537	-307.9829595
1.68537	-307.9760486
1.69537	-307.9685572
1.70537	-307.9604432
1.71537	-307.9516614
1.72537	-307.9421634
1.73537	-307.9318974
1.74537	-307.9208077
